Comment,Designator,Footprint,LCSC Part #
100n,"C1,C5,C6,C7,C9,C11",Capacitor_SMD:C_0805_2012Metric,C49678
10u,"C2,C8",Capacitor_SMD:C_0805_2012Metric,C1713
10n,"C3,C4",Capacitor_SMD:C_0805_2012Metric,C83170
100u 16V,C10,Capacitor_SMD:CP_Elec_6.3x5.4,C970684
BAT54S,D1,Package_TO_SOT_SMD:SOT-23,C12765
600R@100MHz 2A,FB1,Inductor_SMD:L_0805_2012Metric,C1017
Display 14p FPC 0.5mm,J7,LCM:FPC_05F_14PH20_P0.5mm,C2856800
2.4k 1%,R1,Resistor_SMD:R_0805_2012Metric,C17526
4.7k 1%,R2,Resistor_SMD:R_0805_2012Metric,C17673
100k 1%,"R3,R4",Resistor_SMD:R_0805_2012Metric,C149504
10k 1%,"R5,R6,R8",Resistor_SMD:R_0805_2012Metric,C17414
1k,"R7,R9",Resistor_SMD:R_0805_2012Metric,C17513
0R,"R10,R11,R12,R13,R14",Resistor_SMD:R_0805_2012Metric,C17477
100R,R17,Resistor_SMD:R_0805_2012Metric,C17408
TS-1187A-B-A-B,"SW1,SW2",LCM:SW_TS-1187A_5.1x5.1mm,C318884
ACS770KCB-150U-PFF-T,U1,LCM:ACS770_CB_PFF,C499454
