Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C5, C6, C7, C9",0805,6,100n,C49678
C10,CP_Elec_6.3x5.4,1,100u 16V,C970684
"C2, C8",0805,2,10u,C1713
"C3, C4",0805,2,10n,C83170
D1,SOT-23,1,BAT54S,C12765
FB1,0805,1,600R@100MHz 2A,C1017
J7,FPC_05F_14PH20_P0.5mm,1,Display 14p FPC 0.5mm,C2856800
JP1,SolderJumper_3_P1.3mm_Open,1,5V / 3V3,
R1,0805,1,2.4k 1%,C17526
"R10, R11, R12, R13, R14",0805,5,0R,C17477
R17,0805,1,100R,C17408
R2,0805,1,4.7k 1%,C17673
"R3, R4",0805,2,100k 1%,C149504
"R5, R6, R8",0805,3,10k 1%,C17414
"R7, R9",0805,2,1k,C17513
RV1,RES-ADJ-TH_3362P,1,100k,
SW1,SW_TS-1187A_5.1x5.1mm,1,MODE,C318884
SW2,SW_TS-1187A_5.1x5.1mm,1,ZERO/TARE,C318884
U1,SENSOR-TH_ACS758KCB-150B-PFF-T (1),1,ACS770KCB-150U-PFF-T,C499454
