Designator,Mid X,Mid Y,Rotation,Layer
C1,103.0,-83.45,90.0,top
C10,98.0,-90.0,180.0,top
C11,135.75,-92.0,90.0,top
C2,107.5,-83.45,90.0,top
C3,98.0,-70.5,270.0,top
C4,112.0,-70.55,270.0,top
C5,108.5,-70.55,270.0,top
C6,101.5,-70.5,270.0,top
C7,105.0,-70.55,270.0,top
C8,121.09,-92.0,90.0,top
C9,123.5,-92.0,90.0,top
D1,138.0,-67.0,180.0,top
FB1,98.5,-83.5,270.0,top
J1,66.5,-64.679,180.0,top
J2,83.0,-59.7105,0.0,top
J3,66.5,-98.371,0.0,top
J4,83.0,-98.8395,180.0,top
J7,126.0,-108.0,0.0,top
JP1,119.0,-103.0,270.0,top
R1,108.6625,-62.5,0.0,top
R10,109.75,-95.0,270.0,top
R11,121.09,-97.0,0.0,top
R12,125.09,-97.0,0.0,top
R13,129.09,-97.0,0.0,top
R14,126.75,-92.0,270.0,top
R17,139.0,-92.09,270.0,top
R2,115.5,-70.5875,270.0,top
R3,85.0,-92.5,0.0,top
R4,89.5,-92.5,0.0,top
R5,112.0,-83.4125,90.0,top
R6,91.5,-96.0,270.0,top
R7,108.6625,-60.0,0.0,top
R8,118.0,-70.5875,270.0,top
R9,111.5,-78.0875,90.0,top
RV1,114.7775,-89.7025,0.0,top
SW1,100.0,-107.0,0.0,top
SW2,110.0,-107.0,0.0,top
U1,79.93,-81.0,90.0,top
